model,seed,optimizer_step,evaluation_pairs,highavg_correct,highavg_reward_accuracy,highavg_simpo_loss,random_correct,random_reward_accuracy,random_simpo_loss,accuracy_difference_pp,simpo_loss_difference
Qwen2.5-1.5B-Instruct,42,276,600,420,0.7,1.105776039133127,414,0.69,1.1252404872722233,1.0000000000000009,-0.019464448139096202
Qwen2.5-1.5B-Instruct,43,276,600,422,0.7033333333333334,1.101641339684104,411,0.685,1.124425206233643,1.8333333333333313,-0.02278386654953901
Qwen2.5-1.5B-Instruct,44,276,600,419,0.6983333333333334,1.102237520919977,412,0.6866666666666666,1.1301982483035378,1.1666666666666714,-0.027960727383560702
Qwen2.5-3B-Instruct,42,276,600,433,0.7216666666666667,1.0628150126257974,426,0.71,1.0690638497666844,1.1666666666666714,-0.006248837140887087
Qwen2.5-3B-Instruct,43,276,600,438,0.73,1.0613506124601297,429,0.715,1.0642572393711633,1.5000000000000013,-0.002906626911033605
Qwen2.5-3B-Instruct,44,276,600,435,0.725,1.0590826718676611,425,0.7083333333333334,1.064222004683317,1.6666666666666607,-0.005139332815655928
Qwen2.5-7B-Instruct,42,276,600,457,0.7616666666666667,0.9725538579498763,442,0.7366666666666667,1.006134843366875,2.500000000000002,-0.03358098541699883
Qwen2.5-7B-Instruct,43,276,600,460,0.7666666666666667,0.9742678782210222,437,0.7283333333333334,1.0124432991969405,3.833333333333333,-0.038175420975918306
Qwen2.5-7B-Instruct,44,276,600,454,0.7566666666666667,0.9776849095257798,438,0.73,1.0034168825950733,2.6666666666666727,-0.025731973069293534
